Data,Projeto,Equipe,Equipamento,Horas Totais,Horas Trabalhadas,Horas Paradas,Parada DH_GEL,Parada Parc das artes,Parada Chuva,Parada Mecânica,Outros Motivos,Motivo / Justificativa,Responsável,Nº RDO,Centro de Custo,Observações
06/04/2026,88007 PP25067 - PARC DAS ARTES,1 TURNO,TORNEP,11:00,04:00,07:00,07:00,,,,07:00,"Executada a desmontagem da bomba e linha de lama, seguida do carregamento para transporte à obra da MRV, 'Realizando a organização do canteiro, permanecendo em espera.",,55,88007,
07/04/2026,88007 PP25067 - PARC DAS ARTES,2 TURNO,TORNEP,25:00:00,18:50,06:10,04:40,,01:30,,06:10,Deslocamento de R.Bonito P/ R.Preto/ Aguardando bomba de pistão/aguardando munck1/Motivos climaticos (chuva),,56,88007,
08/04/2026,88007 PP25067 - PARC DAS ARTES,2 TURNO,TORNEP,22:00,19:16,02:44,,,,02:44,02:44,Reparo tubo do fole da embreagem,,57,88007,"revezamento de equipe:no almoço/janta- Perfurou até 290,90 M."
09/04/2026,88007 PP25067 - PARC DAS ARTES,2 TURNO,TORNEP,24:30:00,24:30:00,00:00,,,,,00:00,,,58,88007,"revezamento de equipe:no almoço/janta- Perfurou até 325,54 M"
10/04/2026,88007 PP25067 - PARC DAS ARTES,2 TURNO,TORNEP,22:00,17:00,05:00,,,,05:00,05:00,Troca da graxeta da bomba centrifuga/Revisão da bomba,,59,88007,"Perfurou até 332,43 M"
11/04/2026,88007 PP25067 - PARC DAS ARTES,2 TURNO,TORNEP,24:00:00,12:00,12:00,12:00,,,,12:00,Falta de equipe,,60,88007,"Perfurou até 352,89 M"
12/04/2026,88007 PP25067 - PARC DAS ARTES,2 TURNO,TORNEP,24:00:00,08:00,16:00,12:00,,,04:00,16:00,Reparo por solda no underreamer/falta de equipe,,61,88007,
13/04/2026,88007 PP25067 - PARC DAS ARTES,2 TURNO,TORNEP,23:10,15:10,08:00,,,,08:00,08:00,Arrumando fole da embreagem de mesa/Arrumando fole da sonda.,,62,88007,
14/04/2026,88007 PP25067 - PARC DAS ARTES,2 TURNO,TORNEP,24:00:00,17:45,06:15,,,,06:15,06:15,Arrumando junta da bomba / apertando o suiwel / arrumando mangueira e conexão de ar do fole de mesa,,63,88007,Reabriu até 218 M
15/04/2026,88007 PP25067 - PARC DAS ARTES,2 TURNO,TORNEP,22:00,07:00,15:00,11:00,,,04:00,15:00,Aguardando peças do underreamer (pinos do braço)/falta de equipe,,64,88007,
16/04/2026,88007 PP25067 - PARC DAS ARTES,2 TURNO,TORNEP,23:00,19:00,04:00,,,,04:00,04:00,Manutenção do underreamer,,65,88007,
17/04/2026,88007 PP25067 - PARC DAS ARTES,2 TURNO,TORNEP,24:00:00,24:00:00,00:00,,,,,00:00,Limpeza do fundo do poço 355 M/Material decantado,,66,88007,Revezamento de equipe: no almoço/janta
18/04/2026,88007 PP25067 - PARC DAS ARTES,2 TURNO,TORNEP,23:00,21:00,02:00,,,,02:00,02:00,Manutenção do underreamer/manutenção da bomba emsco,,67,88007,
19/04/2026,88007 PP25067 - PARC DAS ARTES,2 TURNO,TORNEP,24:00:00,24:00:00,00:00,,,,,00:00,Instalação eletrica,,68,88007,Reabriu com underreamer até 345 M
20/04/2026,88007 PP25067 - PARC DAS ARTES,2 TURNO,TORNEP,22:00,18:50,03:10,03:10,,,,03:10,testando e verificando catarina/ DTM carregamento de munck,,69,88007,
21/04/2026,88007 PP25067 - PARC DAS ARTES,2 TURNO,TORNEP,23:00,20:45,02:15,02:15,,,,02:15,descarregando ferramenta,,70,88007,
22/04/2026,88007 PP25067 - PARC DAS ARTES,2 TURNO,TORNEP,22:30,22:30,00:00,,,,,00:00,,,71,88007,
23/04/2026,88007 PP25067 - PARC DAS ARTES,2 TURNO,TORNEP,22:25,14:15,08:10,08:10,,,,08:10,Aguardando Oxigenio acetileno/ aguardando material,,72,88007,
